Año,Trimestre,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,id_provincia
2021,2,37192.0,31178.0,1096049.0,244001.0,140322.0,236897.0,2337604.0,9108.0,4132351.0,1
2021,2,294.0,603.0,157558.0,73568.0,43859.0,86655.0,1037752.0,66.0,1400355.0,2
2021,2,71.0,0.0,7219.0,9091.0,6828.0,4941.0,25388.0,2206.0,55744.0,3
2021,2,301.0,112.0,23444.0,21574.0,24032.0,16069.0,47239.0,7958.0,140729.0,4
2021,2,104.0,105.0,89639.0,22605.0,16604.0,3896.0,1112.0,5172.0,139237.0,5
2021,2,99.0,2452.0,201757.0,136516.0,66950.0,70824.0,442357.0,9925.0,930880.0,6
2021,2,67.0,645.0,29419.0,27037.0,24524.0,10059.0,32697.0,5053.0,129501.0,7
2021,2,107.0,3024.0,63518.0,55349.0,39468.0,18484.0,61605.0,16077.0,257632.0,8
2021,2,381.0,0.0,22364.0,7310.0,7460.0,1341.0,11077.0,1618.0,51551.0,9
2021,2,48.0,175.0,24182.0,16577.0,37908.0,607.0,29950.0,2401.0,111848.0,10
2021,2,298.0,554.0,64146.0,7769.0,8128.0,3399.0,9311.0,4062.0,97667.0,11
2021,2,18.0,1.0,5312.0,5971.0,23298.0,4825.0,42158.0,19.0,81602.0,12
2021,2,36.0,31.0,137462.0,10886.0,56117.0,4403.0,20686.0,50.0,229671.0,13
2021,2,51.0,5.0,41643.0,25907.0,25811.0,16172.0,38308.0,8279.0,156176.0,14
2021,2,112.0,327.0,57713.0,8631.0,5871.0,5943.0,54008.0,5645.0,138250.0,15
2021,2,125.0,557.0,69356.0,3663.0,15019.0,3867.0,31488.0,20009.0,144084.0,16
2021,2,101.0,20.0,42543.0,67012.0,7099.0,9654.0,58882.0,6328.0,191639.0,17
