Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,ID
2020,3,26419.0,70720.0,555.0,4185.0,3613.0,105492.0,22
2020,3,12854.0,26491.0,0.0,0.0,310.0,39655.0,23
2020,3,149605.0,11752.0,59949.0,1808.0,762.0,223876.0,24
2020,2,661272.0,2244277.0,723072.0,91736.0,57189.0,3777546.0,1
2020,2,178896.0,1106133.0,39482.0,3937.0,29373.0,1357821.0,2
2020,2,26968.0,3641.0,14878.0,261.0,2228.0,47976.0,3
2020,2,46816.0,56017.0,17266.0,6452.0,1581.0,128132.0,4
2020,2,45761.0,38279.0,1324.0,17678.0,5614.0,108656.0,5
2020,2,282858.0,415007.0,85818.0,44522.0,8263.0,836468.0,6
2020,2,51248.0,55536.0,3144.0,3927.0,5011.0,118866.0,7
2020,2,89391.0,99423.0,13954.0,20042.0,11303.0,234113.0,8
2020,2,21805.0,9353.0,1882.0,14723.0,169.0,47932.0,9
2020,2,32705.0,38938.0,5057.0,952.0,16664.0,94316.0,10
2020,2,8551.0,54422.0,14232.0,11314.0,1290.0,89809.0,11
2020,2,16885.0,34984.0,1.0,250.0,35.0,52155.0,12
2020,2,91904.0,62941.0,29613.0,15924.0,802.0,201184.0,13
2020,2,50792.0,74497.0,2579.0,3319.0,9153.0,140340.0,14
2020,2,30256.0,67990.0,11037.0,15755.0,1134.0,126172.0,15
2020,2,49756.0,39650.0,10382.0,11331.0,18367.0,129486.0,16
2020,2,59502.0,81740.0,24289.0,5123.0,7108.0,177762.0,17
2020,2,40092.0,8275.0,5509.0,7019.0,8882.0,69777.0,18
2020,2,8401.0,8357.0,6.0,60935.0,36253.0,113952.0,19
2020,2,12845.0,16044.0,1027.0,6585.0,2368.0,38869.0,20
2020,2,299974.0,381679.0,46698.0,30487.0,19094.0,777932.0,21
2020,2,25917.0,72074.0,355.0,3038.0,4063.0,105447.0,22
2020,2,12854.0,26025.0,0.0,0.0,310.0,39189.0,23
2020,2,150084.0,9833.0,55120.0,1357.0,762.0,217156.0,24
2020,1,673237.0,2210349.0,720688.0,85443.0,18334.0,3708051.0,1
2020,1,184494.0,1097635.0,38898.0,3911.0,28556.0,1353494.0,2
2020,1,21945.0,3146.0,12056.0,261.0,2227.0,39635.0,3
2020,1,46356.0,54144.0,11958.0,6239.0,1580.0,120277.0,4
2020,1,45763.0,27287.0,1324.0,16885.0,5479.0,96738.0,5
2020,1,286168.0,406109.0,68512.0,41617.0,8693.0,811099.0,6
2020,1,51126.0,53231.0,2172.0,2437.0,5004.0,113970.0,7
2020,1,90368.0,95434.0,13245.0,18737.0,14062.0,231846.0,8
2020,1,21068.0,8887.0,1800.0,14510.0,169.0,46434.0,9
2020,1,32066.0,38938.0,3078.0,942.0,16641.0,91665.0,10
2020,1,8553.0,53755.0,13821.0,11295.0,1802.0,89226.0,11
2020,1,13076.0,34984.0,0.0,251.0,29.0,48340.0,12
2020,1,91955.0,50251.0,28059.0,12465.0,722.0,183452.0,13
2020,1,51458.0,69452.0,1220.0,460.0,10962.0,133552.0,14
2020,1,29305.0,65951.0,11031.0,14711.0,729.0,121727.0,15
2020,1,47756.0,38479.0,10381.0,11222.0,18362.0,126200.0,16
2020,1,60426.0,75593.0,23025.0,4125.0,7212.0,170381.0,17
2020,1,40092.0,6448.0,5508.0,7082.0,5101.0,64231.0,18
2020,1,8301.0,7612.0,5.0,58301.0,36333.0,110552.0,19
2020,1,12845.0,15766.0,1026.0,6817.0,2368.0,38822.0,20
2020,1,302366.0,383673.0,35123.0,30488.0,19468.0,771118.0,21
2020,1,24695.0,70424.0,200.0,2779.0,4657.0,102755.0,22
2020,1,12854.0,25632.0,0.0,0.0,308.0,38794.0,23
2020,1,143184.0,10494.0,44687.0,1355.0,347.0,200067.0,24
2019,4,720011.0,2191672.0,669194.0,87111.0,18266.0,3686254.0,1
2019,4,196938.0,1093143.0,35534.0,3914.0,28576.0,1358105.0,2
2019,4,22999.0,3318.0,9506.0,261.0,2227.0,38311.0,3
2019,4,48661.0,53602.0,8831.0,5229.0,1580.0,117903.0,4
2019,4,47045.0,26977.0,1324.0,15267.0,5489.0,96102.0,5
2019,4,296872.0,410038.0,53335.0,37750.0,8693.0,806688.0,6
2019,4,52525.0,51845.0,2002.0,2458.0,5004.0,113834.0,7
2019,4,92981.0,99206.0,12875.0,18561.0,15407.0,239030.0,8
2019,4,21567.0,8684.0,1760.0,14531.0,169.0,46711.0,9
2019,4,32949.0,37604.0,873.0,814.0,16641.0,88881.0,10
2019,4,15457.0,56854.0,4942.0,11341.0,1805.0,90399.0,11
2019,4,13738.0,34984.0,0.0,251.0,29.0,49002.0,12
2019,4,96678.0,49711.0,24989.0,13672.0,730.0,185780.0,13
2019,4,53116.0,69676.0,847.0,441.0,11733.0,135813.0,14
2019,4,29826.0,60970.0,10549.0,14246.0,854.0,116445.0,15
2019,4,49747.0,37933.0,9658.0,11437.0,18365.0,127140.0,16
2019,4,63272.0,76062.0,21865.0,3040.0,8206.0,172445.0,17
2019,4,41360.0,6338.0,4931.0,7241.0,5104.0,64974.0,18
2019,4,8569.0,8027.0,6.0,55266.0,36333.0,108201.0,19
2019,4,13264.0,15899.0,1036.0,6800.0,2371.0,39370.0,20
2019,4,312072.0,382254.0,27464.0,26978.0,20401.0,769169.0,21
2019,4,24682.0,71239.0,200.0,2810.0,4657.0,103588.0,22
2019,4,13261.0,26821.0,0.0,0.0,310.0,40392.0,23
2019,4,146985.0,11012.0,39574.0,725.0,348.0,198644.0,24
2019,3,1277249.0,2144956.0,425386.0,85572.0,27070.0,3960233.0,1
2019,3,300288.0,1080973.0,24900.0,3895.0,31155.0,1441211.0,2
2019,3,24349.0,5543.0,13.0,244.0,2251.0,32400.0,3
2019,3,50416.0,49156.0,8063.0,5224.0,1592.0,114451.0,4
2019,3,37298.0,27090.0,1917.0,15149.0,7551.0,89005.0,5
2019,3,307780.0,399231.0,30064.0,37277.0,8701.0,783053.0,6
2019,3,53344.0,50230.0,1888.0,2458.0,4839.0,112759.0,7
2019,3,94947.0,96305.0,12888.0,18530.0,15432.0,238102.0,8
2019,3,21777.0,8359.0,1476.0,14292.0,162.0,46066.0,9
2019,3,33110.0,35742.0,274.0,812.0,16638.0,86576.0,10
2019,3,19469.0,52941.0,4994.0,11462.0,1962.0,90828.0,11
2019,3,14390.0,34984.0,11.0,251.0,41.0,49677.0,12
2019,3,148640.0,54312.0,6865.0,12975.0,1545.0,224337.0,13
2019,3,54493.0,65872.0,829.0,419.0,12270.0,133883.0,14
2019,3,43347.0,60484.0,5560.0,13512.0,2518.0,125421.0,15
2019,3,67478.0,37425.0,9739.0,10806.0,18847.0,144295.0,16
2019,3,65799.0,74329.0,733.0,1580.0,9394.0,151835.0,17
2019,3,51670.0,7425.0,1227.0,7241.0,5535.0,73098.0,18
2019,3,13037.0,10561.0,350.0,62286.0,36466.0,122700.0,19
2019,3,10663.0,17056.0,969.0,6544.0,2738.0,37970.0,20
2019,3,319396.0,377171.0,18690.0,24269.0,21408.0,760934.0,21
2019,3,24556.0,71198.0,219.0,2759.0,34400.0,133132.0,22
2019,3,19790.0,26659.0,651.0,0.0,1487.0,48587.0,23
2019,3,150918.0,12089.0,116.0,684.0,324.0,164131.0,24
2019,2,1284658.0,2079900.0,382971.0,75240.0,32929.0,3855698.0,1
2019,2,309937.0,1061358.0,36082.0,3962.0,4281.0,1415620.0,2
2019,2,25682.0,5543.0,13.0,146.0,2251.0,33635.0,3
2019,2,50765.0,47448.0,4203.0,4727.0,1591.0,108734.0,4
2019,2,37313.0,26338.0,1917.0,14443.0,7545.0,87556.0,5
2019,2,314768.0,388254.0,23023.0,33847.0,15236.0,775128.0,6
2019,2,53835.0,47431.0,1701.0,2444.0,6138.0,111549.0,7
2019,2,97081.0,91081.0,12764.0,17369.0,17529.0,235824.0,8
2019,2,21916.0,8686.0,1382.0,14292.0,162.0,46438.0,9
2019,2,33022.0,30742.0,274.0,812.0,21857.0,86707.0,10
2019,2,19471.0,52101.0,4840.0,10789.0,3004.0,90205.0,11
2019,2,15014.0,34984.0,11.0,251.0,41.0,50301.0,12
2019,2,148673.0,54027.0,6865.0,12748.0,1544.0,223857.0,13
2019,2,55373.0,64272.0,543.0,421.0,12269.0,132878.0,14
2019,2,43420.0,59021.0,4983.0,12792.0,2737.0,122953.0,15
2019,2,67841.0,36527.0,4037.0,10485.0,19657.0,138547.0,16
