Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2019,1,89851,2.0,89853,22
2019,1,45903,544.0,46447,23
2019,1,171970,32.0,172002,24
2018,4,3626502,10104.0,3636606,1
2018,4,1385577,3443.0,1389020,2
2018,4,33574,9.0,33583,3
2018,4,103257,13.0,103270,4
2018,4,77204,1518.0,78722,5
2018,4,737234,105.0,737339,6
2018,4,100591,10.0,100601,7
2018,4,222003,44.0,222047,8
2018,4,45204,0.0,45204,9
2018,4,90132,1.0,90133,10
2018,4,85368,268.0,85636,11
2018,4,51633,18.0,51651,12
2018,4,204982,1322.0,206304,13
2018,4,116273,0.0,116273,14
2018,4,112309,2056.0,114365,15
2018,4,115922,915.0,116837,16
2018,4,134577,1.0,134578,17
2018,4,61834,564.0,62398,18
2018,4,96040,291.0,96331,19
2018,4,24443,325.0,24768,20
2018,4,720161,229.0,720390,21
2018,4,89333,2.0,89335,22
2018,4,45716,544.0,46260,23
2018,4,171972,32.0,172004,24
2018,3,3599714,10563.0,3610277,1
2018,3,1385804,6686.0,1392490,2
2018,3,34215,11.0,34226,3
2018,3,102021,12.0,102033,4
2018,3,101310,2426.0,103736,5
2018,3,725764,94.0,725858,6
2018,3,99445,11.0,99456,7
2018,3,204560,48.0,204608,8
2018,3,44865,0.0,44865,9
2018,3,44934,1.0,44935,10
2018,3,83180,244.0,83424,11
2018,3,51855,17.0,51872,12
2018,3,205545,1484.0,207029,13
2018,3,108042,0.0,108042,14
2018,3,114713,2005.0,116718,15
2018,3,112433,1059.0,113492,16
2018,3,132882,1.0,132883,17
2018,3,63823,658.0,64481,18
2018,3,74121,300.0,74421,19
2018,3,33565,434.0,33999,20
2018,3,694883,217.0,695100,21
2018,3,86358,2.0,86360,22
2018,3,45056,508.0,45564,23
2018,3,171135,31.0,171166,24
2018,2,3490134,10565.0,3500699,1
2018,2,1362498,6688.0,1369186,2
2018,2,34078,11.0,34089,3
2018,2,98509,12.0,98521,4
2018,2,98137,2427.0,100564,5
2018,2,712979,94.0,713073,6
2018,2,97946,11.0,97957,7
2018,2,199937,48.0,199985,8
2018,2,44554,,44554,9
2018,2,45132,1.0,45133,10
2018,2,82177,244.0,82421,11
2018,2,51931,17.0,51948,12
2018,2,199468,1484.0,200952,13
2018,2,106147,,106147,14
2018,2,113842,2006.0,115848,15
2018,2,111176,1059.0,112235,16
2018,2,134166,1.0,134167,17
2018,2,63443,658.0,64101,18
2018,2,21168,300.0,21468,19
2018,2,33970,435.0,34405,20
2018,2,684243,309.0,684552,21
2018,2,83773,2.0,83775,22
2018,2,44199,508.0,44707,23
2018,2,169926,31.0,169957,24
2018,1,3464882,10564.0,3475446,1
2018,1,1359882,6688.0,1366570,2
2018,1,33934,11.0,33945,3
2018,1,96925,12.0,96937,4
2018,1,95532,2427.0,97959,5
2018,1,713825,101.0,713926,6
2018,1,94406,11.0,94417,7
2018,1,197346,48.0,197394,8
2018,1,32328,0.0,32328,9
2018,1,44405,1.0,44406,10
2018,1,82668,396.0,83064,11
2018,1,52228,17.0,52245,12
2018,1,199463,1484.0,200947,13
2018,1,103580,0.0,103580,14
2018,1,115897,2006.0,117903,15
2018,1,110057,1062.0,111119,16
2018,1,133182,1.0,133183,17
2018,1,62610,658.0,63268,18
2018,1,21096,300.0,21396,19
2018,1,33970,435.0,34405,20
2018,1,679717,309.0,680026,21
2018,1,82916,2.0,82918,22
2018,1,31106,508.0,31614,23
2018,1,168026,31.0,168057,24
2017,4,3171206,10690.0,3181896,1
2017,4,1575418,6906.0,1582324,2
2017,4,29548,10.0,29558,3
2017,4,96603,12.0,96615,4
2017,4,91012,2428.0,93440,5
2017,4,709874,105.0,709979,6
2017,4,93760,11.0,93771,7
2017,4,193654,49.0,193703,8
2017,4,32056,0.0,32056,9
2017,4,43551,1.0,43552,10
2017,4,81675,396.0,82071,11
2017,4,52177,17.0,52194,12
2017,4,178661,1490.0,180151,13
2017,4,103895,0.0,103895,14
2017,4,114965,2006.0,116971,15
2017,4,108702,1062.0,109764,16
2017,4,132811,1.0,132812,17
2017,4,57965,659.0,58624,18
2017,4,14604,300.0,14904,19
2017,4,29018,434.0,29452,20
2017,4,672137,323.0,672460,21
2017,4,68842,2.0,68844,22
2017,4,28346,508.0,28854,23
2017,4,162298,34.0,162332,24
2017,3,3046758,11202.0,3057960,1
2017,3,1563289,7070.0,1570359,2
2017,3,33467,11.0,33478,3
2017,3,93747,12.0,93759,4
2017,3,81067,2477.0,83544,5
2017,3,696536,108.0,696644,6
2017,3,92536,12.0,92548,7
2017,3,185414,50.0,185464,8
2017,3,32105,0.0,32105,9
2017,3,43241,1.0,43242,10
2017,3,79280,410.0,79690,11
2017,3,51896,17.0,51913,12
2017,3,190958,1533.0,192491,13
2017,3,100476,0.0,100476,14
