Año,Trimestre,Provincia,Accesos por cada 100 hogares
2018,1,Buenos Aires,62.63
2018,1,Capital Federal,106.24
2018,1,Catamarca,32.79
2018,1,Chaco,30.83
2018,1,Chubut,53.72
2018,1,Córdoba,63.52
2018,1,Corrientes,32.66
2018,1,Entre Ríos,48.68
2018,1,Formosa,21.4
2018,1,Jujuy,23.12
2018,1,La Pampa,71.75
2018,1,La Rioja,51.44
2018,1,Mendoza,37.07
2018,1,Misiones,30.96
2018,1,Neuquén,61.52
2018,1,Río Negro,49.82
2018,1,Salta,39.78
2018,1,San Juan,32.61
2018,1,San Luis,15.15
2018,1,Santa Cruz,33.55
2018,1,Santa Fe,62.28
2018,1,Santiago Del Estero,34.99
2018,1,Tierra Del Fuego,65.2
2018,1,Tucumán,41.18
2017,4,Buenos Aires,57.61
2017,4,Capital Federal,122.9
2017,4,Catamarca,28.62
2017,4,Chaco,30.81
2017,4,Chubut,51.46
2017,4,Córdoba,63.33
2017,4,Corrientes,32.52
2017,4,Entre Ríos,47.89
2017,4,Formosa,21.27
2017,4,Jujuy,22.74
2017,4,La Pampa,71.05
2017,4,La Rioja,51.57
2017,4,Mendoza,33.33
2017,4,Misiones,31.14
2017,4,Neuquén,61.24
2017,4,Río Negro,49.38
2017,4,Salta,39.8
2017,4,San Juan,30.3
2017,4,San Luis,10.59
2017,4,Santa Cruz,28.91
2017,4,Santa Fe,61.71
2017,4,Santiago Del Estero,29.13
2017,4,Tierra Del Fuego,59.89
2017,4,Tucumán,39.9
2017,3,Buenos Aires,55.63
2017,3,Capital Federal,121.86
2017,3,Catamarca,32.49
2017,3,Chaco,29.98
2017,3,Chubut,46.22
2017,3,Córdoba,62.31
2017,3,Corrientes,32.17
2017,3,Entre Ríos,45.96
2017,3,Formosa,21.35
2017,3,Jujuy,22.65
2017,3,La Pampa,69.14
2017,3,La Rioja,51.47
2017,3,Mendoza,35.7
2017,3,Misiones,30.21
2017,3,Neuquén,60.83
2017,3,Río Negro,48.52
2017,3,Salta,39.84
2017,3,San Juan,32.37
2017,3,San Luis,15.48
2017,3,Santa Cruz,33.29
2017,3,Santa Fe,60.91
2017,3,Santiago Del Estero,35.12
2017,3,Tierra Del Fuego,65.74
2017,3,Tucumán,39.7
2017,2,Buenos Aires,56.27
2017,2,Capital Federal,124.06
2017,2,Catamarca,25.98
2017,2,Chaco,29.05
2017,2,Chubut,35.55
2017,2,Córdoba,58.97
2017,2,Corrientes,31.39
2017,2,Entre Ríos,45.39
2017,2,Formosa,19.97
2017,2,Jujuy,22.4
2017,2,La Pampa,63.49
2017,2,La Rioja,16.2
2017,2,Mendoza,31.76
2017,2,Misiones,30.09
2017,2,Neuquén,61.91
2017,2,Río Negro,46.02
2017,2,Salta,32.74
2017,2,San Juan,26.96
2017,2,San Luis,9.51
2017,2,Santa Cruz,26.25
2017,2,Santa Fe,52.27
2017,2,Santiago Del Estero,14.12
2017,2,Tierra Del Fuego,68.46
2017,2,Tucumán,38.19
2017,1,Buenos Aires,58.57
2017,1,Capital Federal,108.37
2017,1,Catamarca,25.66
2017,1,Chaco,28.62
2017,1,Chubut,35.66
2017,1,Córdoba,57.65
2017,1,Corrientes,30.94
2017,1,Entre Ríos,44.91
2017,1,Formosa,19.84
2017,1,Jujuy,22.76
2017,1,La Pampa,62.67
