Año,Trimestre,Provincia,Otros,"0,256 Mbps","0,375 Mbps","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps,46 Mbps,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps
2022,3,Mendoza,21144,1,0,0,86.0,16,737,2217,0,0,1348,3217,0,0,0,3647.0,0,0,10699,1660,0,1282,13688,0,1092,0,10780,239,8244.0,,0,0,9392,,0,0,17737,0,0,0,0,8806,0,0,0,0,8547,134,0,0,0,0,0,0,0,52398,0,0,0,0,14,0,0,0,24,0,1,0,0,0,0,90754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0
2022,3,Misiones,8590,0,0,0,47.0,4,0,3510,0,0,0,11038,0,0,0,4823.0,0,0,4,1564,0,6349,11844,0,2143,0,45,4,19181.0,,0,4,120,,0,2,3261,1,0,1,0,8807,0,0,0,0,0,3,0,0,0,0,0,0,0,3198,0,0,0,0,0,0,0,0,71,0,264,0,0,0,0,26752,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,553,0
2022,3,Neuquén,2250,0,0,0,62.0,106,458,536,0,0,0,1677,0,0,0,6634.0,0,0,10737,1476,0,9144,9146,0,276,0,6292,0,7392.0,,0,0,2177,,0,1,4788,0,0,0,0,6042,0,0,0,0,0,59,0,0,0,0,0,0,0,17332,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,11443,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0
2022,3,Río Negro,29644,0,0,0,36.0,75,501,580,0,0,0,2759,0,0,0,6519.0,0,0,7796,2815,0,2072,10092,0,0,0,9287,1,4643.0,,0,18,3719,,0,0,9470,0,0,3,0,7232,0,0,0,0,0,7131,0,0,0,0,0,0,0,5433,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,5289,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Salta,6747,0,0,0,41.0,73,1,1196,0,0,0,1537,0,0,0,6806.0,0,0,8,8242,0,4858,10079,0,303,0,6872,0,63930.0,,0,0,72,,0,0,2032,0,0,4,0,2927,0,0,0,0,11,1,0,0,0,0,1,0,0,120,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,28164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,San Juan,11840,0,0,0,21.0,3,723,1304,0,0,0,1398,0,0,0,11491.0,0,0,11509,860,0,2062,2749,0,1136,0,9391,28,692.0,,0,0,8892,,0,0,10662,0,0,0,0,886,0,0,0,0,6748,811,0,0,0,0,0,0,0,10700,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,San Luis,3353,0,0,0,59.0,1,163,461,0,0,0,491,0,0,0,2780.0,0,0,1418,0,0,319,6777,0,94,0,2622,504,21464.0,,0,0,10615,,0,0,1836,0,0,0,0,1530,0,0,0,0,0,78376,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Santa Cruz,1048,3,0,0,26.0,22,218,6592,0,0,0,2106,0,0,0,2535.0,0,0,2001,826,0,1840,2308,0,16,0,2324,9,9160.0,,0,0,2317,,0,0,4388,0,0,725,0,2944,0,0,0,0,92,911,0,0,0,0,0,0,0,2240,0,0,0,516,0,0,0,0,34,0,0,0,0,0,0,4626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0
2022,3,Santa Fe,18340,32,0,0,335.0,101,5,9369,0,0,0,9620,0,0,0,33069.0,0,0,172,5862,0,21980,45064,0,5727,0,10235,1441,177017.0,,0,0,3200,,135,0,19066,60,0,8,0,50876,0,0,0,0,39,8787,0,0,0,0,0,0,0,14216,0,0,0,17,18,0,2,0,936,0,81,0,0,0,0,128781,0,4,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,51,0
2022,3,Santiago Del Estero,989,0,0,0,39.0,139,908,359,0,0,307,380,0,0,0,10355.0,0,0,0,1220,0,419,13502,0,1346,0,86,0,56704.0,,0,0,13163,,0,0,533,0,0,0,0,4039,0,0,0,0,0,18,0,0,0,0,0,0,0,643,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tierra Del Fuego,2264,0,0,0,11.0,11,318,584,0,0,0,1,0,0,0,462.0,0,0,3740,2004,0,410,5032,0,0,0,8890,9,4735.0,,0,0,12055,,0,0,8957,0,0,257,0,96,0,0,0,0,187,3154,0,0,0,0,0,0,0,306,0,0,0,87,0,0,0,0,96,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Tucumán,15118,0,0,0,19.0,20,0,1562,0,0,0,118,0,0,0,7621.0,0,0,2271,347,0,1200,18439,0,157,0,146,123,34999.0,,0,0,12087,,1,0,2260,0,0,0,0,12021,0,0,1,0,138,115,0,0,0,0,0,0,0,1121,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,59442,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022,2,Buenos Aires,65849,19,,,30.428,192,4611,23712,,,351,24158,,25,,62.107,,,41976,13773,65,32905,119878,,11154,756,70266,275,225.103,,,10,32035,,128,33,86086,301,2,17859,,137500,0,3,1,18,25,73929,,,,,0,,,774956,1495,7,1,873,,,,,3304,9,,,,,1,995477,0,,0,,,58,,1,59,453704,78,1,,,10,,,,3163,,104021,
2022,2,Capital Federal,105607,31,,,451.0,35,1307,4673,,,,334,,,,4.893,,,11975,992,,3369,14473,,7,,16652,3,55.772,,,5,3936,,,,29971,5,,13681,,7774,0,1,,,,25678,,,,,0,,,58948,,,,9,,,,30,123,,,,,,,406963,0,,0,,,1,,,,107522,,,,,,1,,,3,,32185,
2022,2,Catamarca,2207,,,,34.0,37,,413,,,,115,,,,1.337,,,,,,18,2208,,2,,,1,6.152,,,,2179,,,,792,,,,,4194,0,,,,2236,227,,,,,0,,,930,,,,,,,,,,,,,,,,27440,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Chaco,3708,,225,111,234.0,2,,936,,25,,780,,,,4.695,,,167,385,,3638,7913,,106,,700,1,19.302,,,,2133,,,,1796,,,221,,4241,0,,,,,1543,,,,,0,,,14442,,,,,,,,,18,,,,,,,46059,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Chubut,20021,8,,,69.0,32,836,608,,,,5486,,,,5.184,,,11441,5529,,2415,15749,,166,,12602,424,18.025,,,1,15228,,,,18743,,,,,318,0,,,,1791,4134,,,,,0,,,9590,,,,,,,,,10,,,,,,,14046,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Córdoba,13426,2,,,87.0,10,83,11888,,,7,9012,26,154,,42.534,,6,4897,13430,,7973,82447,13,2575,,12207,2198,103.492,,,88,15687,,35,10,24663,134,,3396,,27910,0,,,,2,23571,5,1,35,,0,,,5158,,,,8,,,,,485,,,,,,,360907,0,,0,,,,,,,5081,,,,,,,,,2,,12,
2022,2,Corrientes,7107,,,,10.0,57,118,3819,,,,2959,,,,7.27,,,480,1688,,1570,10286,,,,2921,,21.921,,,,171,,,,1691,1108,,201,,4830,0,,,,,1235,,,,,0,,,20498,,1,,,,,,,,,,,,,,28844,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Entre Ríos,16759,1,,,20.0,86,113,5543,,,,4659,,,,11.198,,,390,2393,,5012,24985,,1117,,1541,3,45.896,,,,4337,,,,3636,1,,719,,9819,0,,,,,3378,,,,,0,,,28995,,,,,,,,,,,,,,,,56221,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Formosa,590,,,,49.0,48,,407,,,,1896,,,,9.891,,,,3289,,3085,5673,,26,,88,,19.592,,,,326,,,,538,,,195,,5271,0,,,,,317,,,,,0,,,278,,,,5,,,,,16,,,,,,,7583,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Jujuy,2453,,,,26.0,32,,1829,,,,1637,,,,5.37,,,,2855,,4736,4860,,10,,999,,14.781,,,,23223,,,,520,,,4,,14039,0,,,,,361,,,,26,0,,,162,,,,,,,,,,,,,,,,29231,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,La Pampa,3012,1,,,6.0,61,143,1744,,,185,3758,,,,7.92,,,2327,3412,,2420,42524,,118,,1719,,8.005,,,,27,,,,6958,,,,,4815,0,,,,,72,,,,,0,,,5178,,,,1,,,,,,,,,,,,14926,0,,0,,,,,,,63,,,,,,,,,,,,
2022,2,La Rioja,,,,,9.0,9,,728,,,,8,,,,899.0,,,,2,,162,2108,,1,,85,,3.804,,,22,15641,,,,487,,,,,7664,0,,,,705,266,,,,,0,,,4512,,,,,,,,,,,,,,,,36890,0,,0,,,,,,,,,,,,,,,,,,,
2022,2,Mendoza,3940,1,,,86.0,16,737,2217,,,1348,3359,,,,4.988,,,10699,1640,,892,22035,,1582,,10780,1629,8.566,,,,36586,,,,19422,,,,,8130,0,,,,11992,143,,,,,0,,,53578,,,,,63,,,,37,,1,,,,,58158,0,,0,,,,,,,2,,,,,,,,,2,,1,
2022,2,Misiones,8350,,,,47.0,4,,3808,,,,11079,,,,5.407,,,4,1622,,6237,12905,,585,,48,6,21.073,,,4,177,,,1,3272,1,,246,,9073,0,,,,,979,,,,,0,,,18797,,,,,,,,,71,,264,,,,,39048,0,,0,,,,,,,19,,,,,,,,,,,553,
