Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
CHUBUT,Cushamen,Lago Puelo,26014090,290,0,0,134,0,0,0,729,1153
CHUBUT,Cushamen,Leleque,26014100,0,0,0,0,0,3,0,0,3
CHUBUT,Cushamen,El Maitén,26014050,0,0,0,0,0,0,0,625,625
CHUBUT,Escalante,Comodoro Rivadavia,26021030,19602,13126,248,1739,336,43,0,16687,51781
CHUBUT,Escalante,Diadema Argentina,26021040,0,0,0,0,0,0,0,328,328
CHUBUT,Escalante,Rada Tilly,26021050,1143,1,34,1206,54,0,0,418,2856
CHUBUT,Escalante,Acceso Norte,26021020,0,0,0,0,0,2,0,0,2
CHUBUT,Escalante,Barrio Caleta Cordova,26021020,0,0,0,0,0,2,0,0,2
CHUBUT,Escalante,Km. 11 - Cuarteles,26021020,0,0,0,0,0,1,0,0,1
CHUBUT,Florentino Ameghino,Camarones,26028010,0,0,0,0,0,1,0,208,209
CHUBUT,Florentino Ameghino,Garayalde,26028020,0,0,0,0,0,0,0,3,3
CHUBUT,Futaleufú,Corcovado,26035020,0,0,1,0,0,2,0,0,3
CHUBUT,Futaleufú,Esquel,26035030,7142,1522,40,0,0,3,0,4498,13205
CHUBUT,Futaleufú,Los Cipreses,26035050,0,0,0,0,0,1,0,0,1
CHUBUT,Futaleufú,Trevelín,26035060,472,0,19,0,18,1,0,536,1046
CHUBUT,Futaleufú,Villa Futalaufquen,26035070,0,0,0,0,0,9,0,0,9
CHUBUT,Futaleufú,Lago Rosario,26035040,0,0,0,0,0,1,0,0,1
CHUBUT,Gaiman,28 de Julio,26042040,0,0,0,12,1,1,0,0,14
CHUBUT,Gaiman,Dolavon,26042020,0,0,3,55,50,1,0,0,109
CHUBUT,Gaiman,Gaiman,26042030,223,0,15,90,658,2,0,0,988
CHUBUT,Gaiman,OTROS,Sin Datos,0,0,0,0,0,14,0,0,14
CHUBUT,Gastre,Blancuntre,26049010,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,El Escorial,26049020,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,Lagunita Salada,26049040,0,0,0,0,0,1,0,7,8
CHUBUT,Gastre,Yala Laubat,26049050,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,Gastre,26049030,0,0,0,0,0,0,0,103,103
CHUBUT,Languiñeo,Aldea Epulef,26056010,0,0,0,0,0,1,0,5,6
CHUBUT,Languiñeo,Carrenleufú,26056020,0,0,0,0,0,1,0,0,1
CHUBUT,Languiñeo,Colan Conhue,26056030,0,0,0,0,0,1,0,4,5
CHUBUT,Languiñeo,Paso del Sapo,26056040,0,0,0,0,0,2,0,30,32
CHUBUT,Languiñeo,Tecka,26056050,0,0,0,0,0,1,0,0,1
CHUBUT,Mártires,El Mirasol,26063010,0,0,0,0,0,1,0,0,1
CHUBUT,Mártires,Las Plumas,26063020,0,0,0,0,0,1,0,0,1
CHUBUT,Paso de Indios,Cerro Cóndor,26070010,0,1,0,0,0,1,0,0,2
CHUBUT,Paso de Indios,Los Altares,26070020,0,0,0,0,0,1,0,2,3
