Año,Trimestre,Provincia,Mbps (Media de bajada)
2018,3,La Rioja,616.0
2018,3,Mendoza,579.0
2018,3,Misiones,1.249
2018,3,Neuquén,1.467
2018,3,Río Negro,1.006
2018,3,Salta,927.0
2018,3,San Juan,574.0
2018,3,San Luis,881.0
2018,3,Santa Cruz,537.0
2018,3,Santa Fe,1.236
2018,3,Santiago Del Estero,578.0
2018,3,Tierra Del Fuego,599.0
2018,3,Tucumán,1.526
2018,2,Buenos Aires,1.468
2018,2,Capital Federal,1.894
2018,2,Catamarca,769.0
2018,2,Chaco,1.25
2018,2,Chubut,533.0
2018,2,Córdoba,1.388
2018,2,Corrientes,1.088
2018,2,Entre Ríos,1.019
2018,2,Formosa,897.0
2018,2,Jujuy,629.0
2018,2,La Pampa,410.0
2018,2,La Rioja,559.0
2018,2,Mendoza,588.0
2018,2,Misiones,1.176
2018,2,Neuquén,1.337
2018,2,Río Negro,951.0
2018,2,Salta,893.0
2018,2,San Juan,585.0
2018,2,San Luis,590.0
2018,2,Santa Cruz,519.0
2018,2,Santa Fe,1.175
2018,2,Santiago Del Estero,591.0
2018,2,Tierra Del Fuego,594.0
2018,2,Tucumán,1.351
2018,1,Buenos Aires,1.42
2018,1,Capital Federal,1.775
2018,1,Catamarca,820.0
2018,1,Chaco,1.244
2018,1,Chubut,542.0
2018,1,Córdoba,1.279
2018,1,Corrientes,1.112
2018,1,Entre Ríos,988.0
2018,1,Formosa,1.106
2018,1,Jujuy,674.0
2018,1,La Pampa,400.0
2018,1,La Rioja,589.0
2018,1,Mendoza,588.0
2018,1,Misiones,1.208
2018,1,Neuquén,1.196
2018,1,Río Negro,898.0
2018,1,Salta,919.0
2018,1,San Juan,585.0
2018,1,San Luis,589.0
2018,1,Santa Cruz,519.0
2018,1,Santa Fe,1.117
2018,1,Santiago Del Estero,625.0
2018,1,Tierra Del Fuego,577.0
2018,1,Tucumán,936.0
2017,4,Buenos Aires,1.297
2017,4,Capital Federal,1.52
2017,4,Catamarca,778.0
2017,4,Chaco,1.17
2017,4,Chubut,541.0
2017,4,Córdoba,1.164
2017,4,Corrientes,1.038
2017,4,Entre Ríos,930.0
2017,4,Formosa,1.011
2017,4,Jujuy,664.0
2017,4,La Pampa,398.0
2017,4,La Rioja,588.0
2017,4,Mendoza,571.0
2017,4,Misiones,1.132
2017,4,Neuquén,1.072
2017,4,Río Negro,805.0
2017,4,Salta,845.0
2017,4,San Juan,583.0
2017,4,San Luis,573.0
2017,4,Santa Cruz,521.0
2017,4,Santa Fe,1.03
2017,4,Santiago Del Estero,617.0
2017,4,Tierra Del Fuego,520.0
2017,4,Tucumán,911.0
2017,3,Buenos Aires,843.0
2017,3,Capital Federal,1.064
2017,3,Catamarca,526.0
2017,3,Chaco,848.0
2017,3,Chubut,348.0
2017,3,Córdoba,912.0
2017,3,Corrientes,745.0
2017,3,Entre Ríos,699.0
2017,3,Formosa,707.0
2017,3,Jujuy,469.0
2017,3,La Pampa,344.0
2017,3,La Rioja,501.0
2017,3,Mendoza,351.0
2017,3,Misiones,843.0
2017,3,Neuquén,817.0
2017,3,Río Negro,549.0
2017,3,Salta,613.0
2017,3,San Juan,345.0
2017,3,San Luis,350.0
2017,3,Santa Cruz,361.0
2017,3,Santa Fe,779.0
2017,3,Santiago Del Estero,518.0
2017,3,Tierra Del Fuego,348.0
2017,3,Tucumán,639.0
2017,2,Buenos Aires,720.0
2017,2,Capital Federal,884.0
2017,2,Catamarca,510.0
2017,2,Chaco,769.0
2017,2,Chubut,345.0
2017,2,Córdoba,742.0
2017,2,Corrientes,679.0
2017,2,Entre Ríos,629.0
2017,2,Formosa,618.0
2017,2,Jujuy,454.0
2017,2,La Pampa,332.0
2017,2,La Rioja,553.0
2017,2,Mendoza,351.0
2017,2,Misiones,760.0
2017,2,Neuquén,670.0
2017,2,Río Negro,474.0
2017,2,Salta,576.0
2017,2,San Juan,349.0
2017,2,San Luis,350.0
2017,2,Santa Cruz,360.0
2017,2,Santa Fe,684.0
2017,2,Santiago Del Estero,506.0
2017,2,Tierra Del Fuego,348.0
2017,2,Tucumán,609.0
2017,1,Buenos Aires,668.0
2017,1,Capital Federal,835.0
2017,1,Catamarca,497.0
2017,1,Chaco,731.0
2017,1,Chubut,344.0
2017,1,Córdoba,680.0
2017,1,Corrientes,643.0
2017,1,Entre Ríos,595.0
2017,1,Formosa,574.0
2017,1,Jujuy,439.0
2017,1,La Pampa,322.0
2017,1,La Rioja,543.0
2017,1,Mendoza,351.0
2017,1,Misiones,734.0
2017,1,Neuquén,603.0
2017,1,Río Negro,445.0
2017,1,Salta,534.0
2017,1,San Juan,349.0
2017,1,San Luis,350.0
2017,1,Santa Cruz,359.0
2017,1,Santa Fe,628.0
2017,1,Santiago Del Estero,495.0
2017,1,Tierra Del Fuego,348.0
2017,1,Tucumán,588.0
2016,4,Buenos Aires,635.0
2016,4,Capital Federal,796.0
2016,4,Catamarca,489.0
2016,4,Chaco,708.0
2016,4,Chubut,341.0
2016,4,Córdoba,647.0
2016,4,Corrientes,624.0
2016,4,Entre Ríos,581.0
2016,4,Formosa,563.0
2016,4,Jujuy,432.0
2016,4,La Pampa,319.0
2016,4,La Rioja,534.0
2016,4,Mendoza,351.0
2016,4,Misiones,711.0
2016,4,Neuquén,568.0
2016,4,Río Negro,437.0
2016,4,Salta,522.0
2016,4,San Juan,349.0
2016,4,San Luis,350.0
2016,4,Santa Cruz,356.0
2016,4,Santa Fe,604.0
2016,4,Santiago Del Estero,487.0
2016,4,Tierra Del Fuego,348.0
2016,4,Tucumán,573.0
2016,3,Buenos Aires,591.0
2016,3,Capital Federal,738.0
2016,3,Catamarca,473.0
2016,3,Chaco,672.0
2016,3,Chubut,334.0
2016,3,Córdoba,607.0
2016,3,Corrientes,596.0
2016,3,Entre Ríos,559.0
2016,3,Formosa,542.0
2016,3,Jujuy,422.0
2016,3,La Pampa,314.0
2016,3,La Rioja,508.0
2016,3,Mendoza,351.0
2016,3,Misiones,674.0
2016,3,Neuquén,529.0
2016,3,Río Negro,416.0
2016,3,Salta,505.0
2016,3,San Juan,349.0
2016,3,San Luis,350.0
2016,3,Santa Cruz,354.0
2016,3,Santa Fe,568.0
2016,3,Santiago Del Estero,467.0
2016,3,Tierra Del Fuego,348.0
2016,3,Tucumán,554.0
2016,2,Buenos Aires,542.0
2016,2,Capital Federal,658.0
2016,2,Catamarca,436.0
2016,2,Chaco,630.0
2016,2,Chubut,334.0
2016,2,Córdoba,552.0
2016,2,Corrientes,560.0
2016,2,Entre Ríos,513.0
2016,2,Formosa,510.0
2016,2,Jujuy,384.0
2016,2,La Pampa,315.0
2016,2,La Rioja,477.0
2016,2,Mendoza,350.0
2016,2,Misiones,623.0
2016,2,Neuquén,487.0
2016,2,Río Negro,398.0
2016,2,Salta,475.0
2016,2,San Juan,349.0
2016,2,San Luis,350.0
2016,2,Santa Cruz,350.0
2016,2,Santa Fe,514.0
2016,2,Santiago Del Estero,431.0
2016,2,Tierra Del Fuego,348.0
2016,2,Tucumán,520.0
2016,1,Buenos Aires,499.0
2016,1,Capital Federal,605.0
2016,1,Catamarca,420.0
2016,1,Chaco,599.0
2016,1,Chubut,338.0
2016,1,Córdoba,516.0
2016,1,Corrientes,537.0
2016,1,Entre Ríos,508.0
2016,1,Formosa,487.0
2016,1,Jujuy,377.0
2016,1,La Pampa,305.0
2016,1,La Rioja,462.0
2016,1,Mendoza,350.0
2016,1,Misiones,600.0
2016,1,Neuquén,442.0
2016,1,Río Negro,383.0
2016,1,Salta,474.0
2016,1,San Juan,349.0
2016,1,San Luis,350.0
2016,1,Santa Cruz,348.0
2016,1,Santa Fe,490.0
2016,1,Santiago Del Estero,417.0
2016,1,Tierra Del Fuego,348.0
2016,1,Tucumán,500.0
2015,4,Buenos Aires,488.0
2015,4,Capital Federal,593.0
2015,4,Catamarca,412.0
2015,4,Chaco,583.0
2015,4,Chubut,328.0
2015,4,Córdoba,507.0
2015,4,Corrientes,526.0
2015,4,Entre Ríos,501.0
2015,4,Formosa,466.0
2015,4,Jujuy,372.0
2015,4,La Pampa,294.0
2015,4,La Rioja,452.0
2015,4,Mendoza,350.0
2015,4,Misiones,590.0
2015,4,Neuquén,436.0
