Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2020,4,Catamarca,71.0,0.0,8.843,8.74,11.436,591.0,20.406,2.309,52.396
2020,4,Chaco,301.0,112.0,24.782,22.479,26.802,15.701,40.949,7.965,139.091
2020,4,Chubut,106.0,109.0,88.157,21.824,12.046,2.818,1.112,4.402,130.574
2020,4,Córdoba,119.0,2.386,214.963,135.262,82.221,70.013,384.169,13.568,902.701
2020,4,Corrientes,67.0,527.0,31.900,26.321,25.687,9.383,26.789,4.985,125.659
2020,4,Entre Ríos,105.0,2.911,65.659,53.556,40.755,16.6,53.141,14.654,247.381
2020,4,Formosa,56.0,0.0,23.540,7.606,7.181,1.197,8.946,1.68,50.206
2020,4,Jujuy,49.0,182.0,23.772,14.379,44.93,446.0,19.282,2.811,105.851
2020,4,La Pampa,298.0,554.0,70.184,8.124,6.562,2.396,6.257,2.52,96.895
2020,4,La Rioja,18.0,1.0,36.906,6.06,4.633,181.0,4.979,0.0,52.778
2020,4,Mendoza,28.0,40.0,146.312,11.172,40.396,3.378,11.557,2.57,215.453
2020,4,Misiones,51.0,524.0,39.988,26.078,26.445,14.81,32.264,7.001,147.161
2020,4,Neuquén,116.0,327.0,56.434,8.478,5.791,5.493,50.776,5.72,133.135
2020,4,Río Negro,125.0,466.0,70.305,4.153,13.131,3.512,29.372,20.146,141.210
2020,4,Salta,109.0,514.0,41.443,68.829,15.188,8.291,46.697,6.319,187.390
2020,4,San Juan,25.0,194.0,61.316,740.0,5.126,332.0,275,4.588,72.596
2020,4,San Luis,58.0,0.0,14.020,3.49,2.688,62.239,22,36.918,119.435
2020,4,Santa Cruz,47.0,0.0,27.173,4.382,6.634,1.033,647,758.0,40.674
2020,4,Santa Fe,518.0,891.0,206.372,203.793,94.246,65.145,226.246,23.602,820.813
2020,4,Santiago Del Estero,123.0,909.0,34.518,57.59,4.666,411.0,4.520,3.932,106.669
2020,4,Tierra Del Fuego,17.0,0.0,21.881,6.119,3.497,488.0,922,6.69,39.614
2020,4,Tucumán,29.0,97.0,44.095,54.334,32.155,4.105,93.594,2.68,231.089
2020,3,Buenos Aires,37.542,31.514,1.113.823,234.71,219.772,194.248,2.085.815,19.853,3.937.277
2020,3,Capital Federal,264.0,312.0,162.222,85.083,68.753,78.028,977.766,247.0,1.372.675
2020,3,Catamarca,63.0,0.0,8.276,8.768,11.195,562.0,18.886,2.154,49.904
2020,3,Chaco,308.0,112.0,24.675,21.639,27.546,13.751,38.729,7.194,133.954
2020,3,Chubut,158.0,109.0,87.559,22.114,12.217,2.818,1.110,3.942,130.027
2020,3,Córdoba,168.0,3.064,218.599,124.833,84.236,63.823,361.021,11.728,867.472
2020,3,Corrientes,72.0,527.0,35.190,23.315,25.308,8.615,25.344,5.02,123.391
2020,3,Entre Ríos,130.0,2.911,66.648,51.478,40.797,14.377,49.395,15.759,241.495
2020,3,Formosa,391.0,151.0,23.163,7.432,7.125,991.0,8.219,1.737,49.209
2020,3,Jujuy,55.0,182.0,32.131,10.566,45.198,293.0,15.238,3.065,106.728
2020,3,La Pampa,293.0,810.0,66.695,7.82,5.577,2.189,6.322,4.029,93.735
2020,3,La Rioja,21.0,1.0,37.105,5.955,4.66,124.0,4.748,2.0,52.616
2020,3,Mendoza,58.0,40.0,141.404,12.123,42.433,3.448,8.237,45.0,207.788
2020,3,Misiones,71.0,524.0,39.005,24.215,25.942,13.663,30.987,8.779,143.186
2020,3,Neuquén,218.0,327.0,60.463,6.561,5.975,5.449,49.439,803.0,129.235
2020,3,Río Negro,114.0,466.0,68.986,3.769,7.096,3.455,28.488,19.093,131.467
2020,3,Salta,129.0,514.0,32.780,64.736,15.99,7.928,43.773,14.996,180.846
