Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2020,1,Santiago Del Estero,25.0,70.0,200.0,3.0,5.0,103.0
2020,1,Tierra Del Fuego,13.0,26.0,0.0,0.0,308.0,39.0
2020,1,Tucumán,143.0,10.0,45.0,1.0,347.0,200.0
2019,4,Buenos Aires,720.0,2.0,669.0,87.0,18.0,4.0
2019,4,Capital Federal,197.0,1.0,36.0,4.0,29.0,1.0
2019,4,Catamarca,23.0,3.0,10.0,261.0,2.0,38.0
2019,4,Chaco,49.0,54.0,9.0,5.0,2.0,118.0
2019,4,Chubut,47.0,27.0,1.0,15.0,5.0,96.0
2019,4,Córdoba,297.0,410.0,53.0,38.0,9.0,807.0
2019,4,Corrientes,53.0,52.0,2.0,2.0,5.0,114.0
2019,4,Entre Ríos,93.0,99.0,13.0,19.0,15.0,239.0
2019,4,Formosa,22.0,9.0,2.0,15.0,169.0,47.0
2019,4,Jujuy,33.0,38.0,873.0,814.0,17.0,89.0
2019,4,La Pampa,15.0,57.0,5.0,11.0,2.0,90.0
2019,4,La Rioja,14.0,35.0,0.0,251.0,29.0,49.0
2019,4,Mendoza,97.0,50.0,25.0,14.0,730.0,186.0
2019,4,Misiones,53.0,70.0,847.0,441.0,12.0,136.0
2019,4,Neuquén,30.0,61.0,11.0,14.0,854.0,116.0
2019,4,Río Negro,50.0,38.0,10.0,11.0,18.0,127.0
2019,4,Salta,63.0,76.0,22.0,3.0,8.0,172.0
2019,4,San Juan,41.0,6.0,5.0,7.0,5.0,65.0
2019,4,San Luis,9.0,8.0,6.0,55.0,36.0,108.0
2019,4,Santa Cruz,13.0,16.0,1.0,7.0,2.0,39.0
2019,4,Santa Fe,312.0,382.0,27.0,27.0,20.0,769.0
2019,4,Santiago Del Estero,25.0,71.0,200.0,3.0,5.0,104.0
2019,4,Tierra Del Fuego,13.0,27.0,0.0,0.0,310.0,40.0
2019,4,Tucumán,147.0,11.0,40.0,725.0,348.0,199.0
2019 *,3 *,Buenos Aires,1.0,2.0,425.0,86.0,27.0,4.0
2019 *,3 *,Capital Federal,300.0,1.0,25.0,4.0,31.0,1.0
2019 *,3 *,Catamarca,24.0,6.0,13.0,244.0,2.0,32.0
2019 *,3 *,Chaco,50.0,49.0,8.0,5.0,2.0,114.0
2019 *,3 *,Chubut,37.0,27.0,2.0,15.0,8.0,89.0
2019 *,3 *,Córdoba,308.0,399.0,30.0,37.0,9.0,783.0
2019 *,3 *,Corrientes,53.0,50.0,2.0,2.0,5.0,113.0
2019 *,3 *,Entre Ríos,95.0,96.0,13.0,19.0,15.0,238.0
2019 *,3 *,Formosa,22.0,8.0,1.0,14.0,162.0,46.0
2019 *,3 *,Jujuy,33.0,36.0,274.0,812.0,17.0,87.0
2019 *,3 *,La Pampa,19.0,53.0,5.0,11.0,2.0,91.0
2019 *,3 *,La Rioja,14.0,35.0,11.0,251.0,41.0,50.0
2019 *,3 *,Mendoza,149.0,54.0,7.0,13.0,2.0,224.0
2019 *,3 *,Misiones,54.0,66.0,829.0,419.0,12.0,134.0
2019 *,3 *,Neuquén,43.0,60.0,6.0,14.0,3.0,125.0
