Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
SANTA FE,San Martín,Piamonte,3336,--,SI,--,--,--,--,SI,--,SI,82126130.0,"-32,14586652","-61,98112022"
SANTA FE,San Martín,San Jorge,17615,SI,SI,--,SI,SI,SI,SI,SI,SI,82126140.0,"-31,89800382","-61,86032878"
SANTIAGO DEL ESTERO,Avellaneda,Villa Mailín,1061,--,--,--,--,SI,SI,SI,--,SI,86028060.0,"-28,48932684","-63,20310785"
SANTIAGO DEL ESTERO,Banda,Abra Grande,138,--,--,--,--,--,--,--,--,--,86035010.0,"-27,29313302","-64,37906452"
SANTIAGO DEL ESTERO,Banda,Antajé,210,--,--,--,--,--,--,--,--,--,86035020.0,"-27,65410576","-64,22410786"
SANTIAGO DEL ESTERO,Banda,Ardiles,203,--,--,--,--,--,--,--,--,--,86035030.0,"-27,44526068","-64,45781076"
SANTIAGO DEL ESTERO,Banda,Cañada Escobar,269,--,--,--,--,--,--,--,--,--,86035040.0,"-27,73540091","-63,99548372"
SANTIAGO DEL ESTERO,Banda,Chaupi Pozo,382,--,--,--,SI,--,--,--,--,SI,86035050.0,"-27,52890288","-64,39635866"
SANTIAGO DEL ESTERO,Banda,Clodomira,9661,--,--,--,SI,SI,SI,SI,SI,SI,86035060.0,"-27,59393893","-64,08264916"
SANTIAGO DEL ESTERO,Banda,Huyamampa,130,--,--,--,SI,--,--,--,--,--,86035070.0,"-27,41181413","-64,2680299"
SANTIAGO DEL ESTERO,Banda,La Aurora,736,--,--,--,SI,--,--,--,--,--,86035080.0,"-27,51900337","-64,18207336"
SANTIAGO DEL ESTERO,Banda,La Banda,106441,SI,--,--,SI,SI,SI,SI,--,SI,86035090.0,"-27,75981048","-64,1861423"
SANTIAGO DEL ESTERO,Banda,La Dársena,1152,--,--,--,--,--,--,--,SI,SI,86035100.0,"-27,72755227","-64,24579847"
SANTIAGO DEL ESTERO,Banda,Los Quiroga,1065,--,--,--,--,SI,SI,--,--,SI,86035110.0,"-27,669552","-64,3737159"
SANTIAGO DEL ESTERO,Banda,Los Soria,224,--,--,--,--,--,--,--,--,--,86035120.0,"-27,65231505","-64,31665054"
SANTIAGO DEL ESTERO,Banda,Simbolar,2344,--,--,--,SI,SI,--,SI,--,SI,86035130.0,"-27,652696","-64,1924887"
SANTIAGO DEL ESTERO,Banda,Tramo 16,637,--,--,--,--,--,--,--,--,--,86035140.0,"-27,7266176","-64,13168554"
SANTIAGO DEL ESTERO,Banda,Tramo 20,116,--,--,--,--,--,--,--,--,--,86035150.0,"-27,74833357","-64,07914006"
SANTIAGO DEL ESTERO,Belgrano,Bandera,6536,--,SI,--,SI,SI,SI,SI,SI,SI,86042010.0,"-28,87351295","-62,16982624"
SANTIAGO DEL ESTERO,Silípica,Nueva Francia,1091,--,--,--,--,SI,SI,--,SI,SI,86189020.0,"-28,19725704","-64,12895715"
SANTIAGO DEL ESTERO,Silípica,Simbol,613,--,--,--,--,--,SI,--,--,SI,86189030.0,"-28,12814759","-64,14779343"
SANTIAGO DEL ESTERO,Silípica,Sumamao,244,--,--,--,--,--,--,--,--,--,86189040.0,"-28,19675753","-64,03571727"
SANTIAGO DEL ESTERO,Silípica,Villa Silípica,98,--,--,--,--,--,--,--,--,--,86189050.0,"-28,13556544","-64,08241586"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Belgrano Ii,0,--,--,--,--,--,--,--,--,--,,"-77,87400885","-34,62656011"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Brown,0,--,--,--,--,--,--,--,--,--,,"-64,89534815","-62,87053782"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Carlini,0,--,--,--,--,--,--,--,--,--,,"-62,23836931","-58,66754358"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Esperanza,0,--,--,--,--,--,--,--,--,SI,,"-63,39739289","-56,99732246"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Marambio,0,--,--,--,--,--,--,--,SI,SI,,"-64,24061406","-56,62509596"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Matienzo,0,--,--,--,--,--,--,--,--,--,,"-64,97586202","-60,07067912"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base Orcadas,0,--,--,--,--,--,--,--,--,--,,"-60,7378173","-44,73766002"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Base San Martin,0,--,--,--,--,--,--,--,--,--,,"-68,13007032","-67,1013295"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Destacamento Camara,0,--,--,--,--,--,--,--,--,--,,"-62,59434966","-59,91905363"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Destacamento Decepcion,0,--,--,--,--,--,--,--,--,--,,"-62,97533233","-60,6982227"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Destacamento Melchior,0,--,--,--,--,--,--,--,--,--,,"-64,32560595","-62,97636577"
TIERRA DEL FUEGO,ANTARTIDA ARGENTINA,Destacamento Petrel,0,--,--,--,--,--,--,--,--,--,,"-63,47790326","-56,22814623"
TIERRA DEL FUEGO,Río Grande,Río Grande,66475,SI,SI,SI,SI,SI,SI,SI,SI,SI,94007010.0,"-53,78704734","-67,71323507"
TIERRA DEL FUEGO,Río Grande,Tolhuin,2626,SI,--,--,SI,SI,SI,SI,SI,SI,94007020.0,"-54,51138675","-67,19580446"
TIERRA DEL FUEGO,Ushuaia,Laguna Escondida,129,--,--,--,--,SI,--,--,SI,SI,94014010.0,"-54,63768608","-67,76694086"
FORMOSA,Laishi,Herradura,2660,--,--,--,--,--,SI,SI,--,SI,34021030.0,"-26,48746464","-58,31224246"
FORMOSA,Laishi,San Francisco de Laishi,4628,--,--,--,--,SI,SI,SI,SI,SI,34021040.0,"-26,24230103","-58,63006424"
FORMOSA,Laishi,Tatané,1056,--,--,--,--,--,SI,--,--,SI,34021050.0,"-26,39871868","-58,35756005"
FORMOSA,Laishi,Villa Escolar,1290,--,--,--,--,--,SI,--,--,--,34021060.0,"-26,62118448","-58,67183369"
FORMOSA,Matacos,Ingeniero Guillermo N. Juárez,12798,SI,--,--,--,SI,SI,SI,SI,SI,34028010.0,"-23,89760041","-61,85382205"
FORMOSA,Patiño,Bartolomé de las Casas,1134,--,--,--,--,SI,SI,--,--,--,34035010.0,"-25,34740223","-59,6181476"
FORMOSA,Patiño,Colonia Sarmiento,173,--,--,--,--,--,--,--,--,--,34035020.0,"-24,64447897","-59,43328083"
FORMOSA,Patiño,Comandante Fontana,6615,--,--,--,--,--,SI,SI,SI,SI,34035030.0,"-25,33479347","-59,68280719"
FORMOSA,Patiño,El Recreo,346,--,--,--,--,--,--,--,--,--,34035040.0,"-25,06631525","-59,25135146"
FORMOSA,Patiño,Estanislao del Campo,4523,SI,--,--,--,--,SI,SI,--,SI,34035050.0,"-25,05319226","-60,09392718"
FORMOSA,Patiño,Fortín Cabo 1º Lugones,1351,--,--,--,--,--,SI,--,--,SI,34035060.0,"-24,28548646","-59,82824992"
FORMOSA,Patiño,Fortín Sargento 1º Leyes,133,--,--,--,--,--,SI,--,--,--,34035070.0,"-24,55030485","-59,39027156"
FORMOSA,Patiño,Ibarreta,9429,SI,--,--,--,SI,SI,SI,SI,SI,34035080.0,"-25,21131912","-59,85703984"
FORMOSA,Patiño,Juan G. Bazán,413,--,--,--,--,--,SI,--,--,SI,34035090.0,"-24,54181371","-60,8341897"
FORMOSA,Patiño,Las Lomitas,12399,SI,--,--,SI,SI,SI,SI,SI,SI,34035100.0,"-24,71057761","-60,59378926"
BUENOS AIRES,Ezeiza,La Unión,33227,SI,SI,--,SI,SI,--,SI,SI,SI,6270010.0,"-34,85038597","-58,55586955"
BUENOS AIRES,Ezeiza,Tristán Suarez,37944,SI,SI,SI,SI,--,SI,SI,SI,SI,6270010.0,"-34,88515271","-58,57003358"
BUENOS AIRES,Florencio Varela,Bosques,64077,SI,SI,SI,SI,--,SI,SI,SI,SI,6274010.0,"-34,8275807","-58,222912"
BUENOS AIRES,Florencio Varela,El Tropezon,0,--,--,--,--,--,--,--,SI,SI,6274010.0,"-34,95640486","-58,27874543"
BUENOS AIRES,Florencio Varela,Estanislao Severo Zeballos,26005,SI,SI,SI,SI,--,--,SI,SI,SI,6274010.0,"-34,81228589","-58,24265326"
BUENOS AIRES,Florencio Varela,Florencio Varela,149676,SI,SI,SI,SI,SI,SI,SI,SI,SI,6274010.0,"-34,79605443","-58,2748589"
BUENOS AIRES,Florencio Varela,Gobernador Julio A. Costa,61135,SI,SI,SI,SI,--,--,SI,SI,SI,6274010.0,"-34,81523973","-58,30823342"
JUJUY,Rinconada,Coyaguaima,83,--,--,--,SI,--,--,--,--,--,38049007.0,"-22,77044356","-66,44042699"
JUJUY,Rinconada,Lagunillas de Farallón,264,--,--,--,SI,--,--,--,--,--,38049010.0,"-22,40756234","-66,6554051"
BUENOS AIRES,Merlo,Merlo,274130,SI,SI,SI,SI,--,SI,SI,SI,SI,6539010.0,"-34,6823277","-58,74364321"
BUENOS AIRES,Merlo,Pontevedra,37628,SI,SI,SI,SI,--,SI,SI,SI,SI,6539010.0,"-34,74679595","-58,70604315"
BUENOS AIRES,Merlo,San Antonio De Padua,42377,SI,SI,SI,SI,--,SI,SI,SI,SI,6539010.0,"-34,66985814","-58,69793044"
BUENOS AIRES,Monte,Abbott,603,--,--,--,SI,--,SI,SI,SI,SI,6547010.0,"-35,28250621","-58,80426191"
BUENOS AIRES,Monte,San Miguel del Monte (Est. Monte),17005,SI,SI,SI,SI,--,SI,SI,SI,SI,6547020.0,"-35,43916432","-58,80945984"
BUENOS AIRES,Monte,Zenón Videla Dorna,76,--,--,--,--,--,--,--,--,SI,6547030.0,"-35,5447734","-58,88559119"
BUENOS AIRES,Monte Hermoso,Balneario Sauce Grande,118,SI,--,--,SI,--,--,SI,SI,SI,6553010.0,"-38,99535769","-61,21520159"
BUENOS AIRES,Monte Hermoso,Monte Hermoso,6351,SI,--,--,SI,--,--,SI,SI,SI,6553020.0,"-38,98150654","-61,30054575"
BUENOS AIRES,Vicente López,Olivos,74242,SI,SI,SI,SI,SI,--,SI,SI,SI,6861010.0,"-34,51216143","-58,49854442"
BUENOS AIRES,Vicente López,Vicente López,23668,SI,SI,SI,SI,--,SI,SI,SI,SI,6861010.0,"-34,52553675","-58,4736495"
BUENOS AIRES,Vicente López,Villa Adelina,9122,--,SI,--,SI,--,--,--,SI,SI,6861010.0,"-34,52875965","-58,54602426"
BUENOS AIRES,Vicente López,Villa Martelli,25616,SI,SI,--,SI,SI,SI,SI,SI,SI,6861010.0,"-34,55259795","-58,50914326"
BUENOS AIRES,Villa Gesell,Mar Azul,1797,--,--,--,--,--,--,SI,SI,SI,6868010.0,"-37,33667316","-57,03250147"
BUENOS AIRES,Villa Gesell,Mar De Las Pampas,0,--,--,--,--,--,--,--,SI,SI,6868020.0,"-37,32813124","-57,03990701"
BUENOS AIRES,Villa Gesell,Villa Gesell,29593,SI,--,--,SI,--,--,SI,SI,SI,6868020.0,"-37,24647047","-56,97072676"
BUENOS AIRES,Villarino,Argerich,80,--,--,--,--,--,SI,SI,--,--,6875010.0,"-38,76865608","-62,60252768"
CORDOBA,Punilla,Villa Giardino,6702,SI,--,--,SI,--,SI,SI,SI,SI,14091270.0,"-31,03627739","-64,49288991"
CORDOBA,Punilla,Villa Lago Azul,108,--,--,--,--,--,--,--,SI,SI,14091280.0,"-31,37402572","-64,48311229"
CORDOBA,Punilla,Villa Parque Siquimán,1738,--,--,--,--,--,SI,--,SI,SI,14091290.0,"-31,34571709","-64,48025711"
