Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Unnamed: 13
BUENOS AIRES,Carlos Casares,La Sofía,6147060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
BUENOS AIRES,Carlos Casares,Moctezuma,6147080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,161,161,
BUENOS AIRES,Carlos Casares,Santo Tomás,6147095,- 0,- 0,- 0,- 0,- 0,- 0,- 0,44,44,
BUENOS AIRES,Carlos Casares,Smith,6147100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,190,190,
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,6147070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,47,47,
BUENOS AIRES,Carlos Casares,Bellocq,6147010,- 0,- 0,1,- 0,- 0,- 0,- 0,- 0,1,
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,6154010,15,"1,23",1,68,- 0,- 0,- 0,506,"1,82",
BUENOS AIRES,Carlos Tejedor,Colonia Seré,6154020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,81,81,
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos  (Est. Cuenca),6154050,- 0,- 0,- 0,- 0,- 0,1,- 0,198,199,
BUENOS AIRES,Carlos Tejedor,Curarú,6154030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Carlos Tejedor,Timote,6154040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,61,61,
BUENOS AIRES,Carmen de Areco,Carmen de Areco,6161010,388,"1,72",5,- 0,1,- 0,- 0,905,"3,01",
BUENOS AIRES,Carmen de Areco,Pueblo Gouin,6161020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,31,31,
BUENOS AIRES,Carmen de Areco,Tres Sargentos,6161030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,107,107,
BUENOS AIRES,Castelli,Castelli,6168010,67,"1,11",- 0,"1,12",- 0,2,- 0,28,"2,33",
BUENOS AIRES,Castelli,Centro Guerrero,6168020,- 0,- 0,- 0,46,- 0,- 0,- 0,3,49,
BUENOS AIRES,Castelli,Cerro De La Gloria,6168030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
BUENOS AIRES,Chacabuco,Castilla,6210010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,274,274,
BUENOS AIRES,Chacabuco,Chacabuco,6210020,925,"9,94",16,14,16,- 0,- 0,2,"10,91",
BUENOS AIRES,Chacabuco,O'Higgins,6210040,260,- 0,- 0,220,- 0,- 0,- 0,12,492,
BUENOS AIRES,Chacabuco,Rawson,6210050,59,- 0,- 0,383,- 0,- 0,- 0,134,576,
BUENOS AIRES,Chascomús,Chascomús,6217010,"2,16","7,57",85,"1,16",85,1,- 0,- 0,"11,06",
BUENOS AIRES,Chascomús,Manuel J. Cobo  (Est. Lezama),6217020,104,"1,88",- 0,- 0,- 0,- 0,444,- 0,"2,43",
BUENOS AIRES,Chascomús,Barrio San Cayetano,6217020,- 0,- 0,- 0,132,- 0,- 0,- 0,- 0,132,
BUENOS AIRES,Chivilcoy,Chivilcoy,6224010,"2,63","9,05",119,976,119,1,- 0,"3,17","16,07",
BUENOS AIRES,Chivilcoy,La Rica,6224040,39,- 0,- 0,- 0,- 0,- 0,- 0,97,136,
BUENOS AIRES,Chivilcoy,Moquehuá,6224050,- 0,338,- 0,546,- 0,- 0,- 0,29,913,
BUENOS AIRES,Chivilcoy,Ramón Biaus,6224060,3,- 0,- 0,- 0,- 0,- 0,- 0,47,50,
BUENOS AIRES,Chivilcoy,San Sebastián,6224070,3,- 0,- 0,- 0,- 0,- 0,- 0,49,52,
BUENOS AIRES,Chivilcoy,Gorostiaga,6224030,55,- 0,- 0,- 0,- 0,- 0,- 0,2,57,
BUENOS AIRES,Colón,Colón,6175010,"4,14","1,61",- 0,"1,79",- 0,- 0,- 0,20,"7,57",
BUENOS AIRES,Colón,Sarasa,6175040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,14,14,
